Call Number,Incident Number,Call Type,Received DtTm,Entry DtTm,Dispatch DtTm,Response DtTm,On Scene DtTm,Transport DtTm,Hospital DtTm,Call Final Disposition,Available DtTm,Address,City,Zipcode of Incident,Final Priority,ALS Unit,Call Type Group,Unit Type,Analysis Neighborhoods
160950115,16037480,Medical Incident,04/04/2016 01:12:39 AM,04/04/2016 01:13:11 AM,04/04/2016 01:13:24 AM,04/04/2016 01:13:39 AM,04/04/2016 01:18:58 AM,04/04/2016 01:48:27 AM,04/04/2016 02:01:42 AM,Code 2 Transport,04/04/2016 02:48:16 AM,PLYMOUTH AVE/BROAD ST,San Francisco,94112.0,3,True,Potentially Life-Threatening,MEDIC,24.0
161013005,16040304,Structure Fire / Smoke in Building,04/10/2016 07:29:22 PM,04/10/2016 07:30:15 PM,04/10/2016 07:30:27 PM,04/10/2016 07:31:16 PM,,,,Code 2 Transport,04/10/2016 07:36:18 PM,45TH AVE/LINCOLN WAY,San Francisco,94122.0,3,False,Alarm,RESCUE SQUAD,12.0
160960310,16037872,Medical Incident,04/05/2016 04:03:12 AM,04/05/2016 04:04:35 AM,04/05/2016 04:08:06 AM,04/05/2016 04:09:57 AM,,,,Code 2 Transport,04/05/2016 04:12:29 AM,TARAVAL ST/18TH AVE,San Francisco,94116.0,3,True,Potentially Life-Threatening,RESCUE CAPTAIN,41.0
161021580,16040530,Other,04/11/2016 11:43:13 AM,04/11/2016 11:43:13 AM,04/11/2016 11:43:29 AM,04/11/2016 11:43:29 AM,,,,Fire,04/11/2016 11:57:31 AM,HOLLADAY AVE/PERALTA AVE,San Francisco,94110.0,3,True,Alarm,ENGINE,2.0
160983171,16039061,Medical Incident,04/07/2016 06:29:45 PM,04/07/2016 06:31:02 PM,04/07/2016 06:31:22 PM,04/07/2016 06:31:29 PM,04/07/2016 06:37:29 PM,,,Patient Declined Transport,04/07/2016 07:24:27 PM,ENTERPRISE ST/FOLSOM ST,San Francisco,94110.0,2,True,Non Life-threatening,MEDIC,20.0
160933464,16037049,Structure Fire / Smoke in Building,04/02/2016 09:17:48 PM,04/02/2016 09:18:25 PM,04/02/2016 09:18:58 PM,04/02/2016 09:19:58 PM,04/02/2016 09:24:04 PM,,,Fire,04/02/2016 09:26:39 PM,18TH AVE/VICENTE ST,San Francisco,94116.0,3,False,Alarm,TRUCK,41.0
160941221,16037212,Medical Incident,04/03/2016 10:11:15 AM,04/03/2016 10:11:15 AM,04/03/2016 10:13:33 AM,04/03/2016 10:13:33 AM,,,,No Merit,04/03/2016 10:18:14 AM,VICENTE ST/GREAT HWY,San Francisco,94116.0,3,False,Non Life-threatening,RESCUE SQUAD,35.0
160983520,16039094,Medical Incident,04/07/2016 08:07:15 PM,04/07/2016 08:09:30 PM,04/07/2016 08:09:48 PM,04/07/2016 08:10:00 PM,04/07/2016 08:28:37 PM,04/07/2016 08:35:17 PM,04/07/2016 08:50:09 PM,Code 2 Transport,04/07/2016 09:33:33 PM,FOLSOM ST/20TH ST,San Francisco,94110.0,2,True,Non Life-threatening,MEDIC,20.0
160990395,16039188,Medical Incident,04/08/2016 04:57:57 AM,04/08/2016 04:57:57 AM,04/08/2016 04:59:42 AM,04/08/2016 05:02:02 AM,04/08/2016 05:03:56 AM,,,Code 2 Transport,04/08/2016 05:13:17 AM,HOLLADAY AVE/PERALTA AVE,San Francisco,94110.0,2,True,Non Life-threatening,ENGINE,2.0
160932291,16036923,Medical Incident,04/02/2016 03:43:42 PM,04/02/2016 03:45:58 PM,04/02/2016 03:46:11 PM,04/02/2016 03:47:05 PM,04/02/2016 03:56:51 PM,04/02/2016 04:12:45 PM,04/02/2016 04:41:31 PM,Code 2 Transport,04/02/2016 05:34:28 PM,GEARY BLVD/33RD AVE,San Francisco,94121.0,3,True,Potentially Life-Threatening,MEDIC,29.0
161041270,16041228,Medical Incident,04/13/2016 10:24:45 AM,04/13/2016 10:26:39 AM,04/13/2016 10:26:57 AM,04/13/2016 10:27:43 AM,,,,Fire,04/13/2016 10:35:47 AM,ELLIS ST/LEAVENWORTH ST,San Francisco,94109.0,2,False,Non Life-threatening,PRIVATE,36.0
160953483,16037776,Traffic Collision,04/04/2016 07:50:08 PM,04/04/2016 07:51:48 PM,04/04/2016 07:54:40 PM,04/04/2016 07:54:40 PM,04/04/2016 07:55:16 PM,,,Code 2 Transport,04/04/2016 08:05:21 PM,PINE ST/FILLMORE ST,San Francisco,94115.0,3,True,Potentially Life-Threatening,ENGINE,30.0
161003248,16039949,Medical Incident,04/09/2016 09:40:08 PM,04/09/2016 09:43:05 PM,04/09/2016 09:43:41 PM,04/09/2016 09:44:56 PM,04/09/2016 09:46:10 PM,,,Code 2 Transport,04/09/2016 10:00:21 PM,SUTTER ST/OCTAVIA ST,San Francisco,94109.0,3,False,Potentially Life-Threatening,ENGINE,30.0
161041409,16041241,Other,04/13/2016 11:02:14 AM,04/13/2016 11:02:14 AM,04/13/2016 11:03:31 AM,04/13/2016 11:03:41 AM,04/13/2016 11:06:33 AM,,,Fire,04/13/2016 11:20:04 AM,ANGELOS ALY/JULIA ST/MISSION ST,San Francisco,94103.0,3,True,Alarm,ENGINE,34.0
161030644,16040814,Other,04/12/2016 07:44:33 AM,04/12/2016 07:45:23 AM,04/12/2016 07:45:57 AM,04/12/2016 07:48:30 AM,04/12/2016 07:51:35 AM,,,Fire,04/12/2016 08:00:54 AM,KIRKHAM ST/40TH AVE,San Francisco,94122.0,3,False,Alarm,TRUCK,35.0
160952484,16037683,Medical Incident,04/04/2016 03:32:37 PM,04/04/2016 03:33:35 PM,04/04/2016 03:35:11 PM,04/04/2016 03:35:43 PM,04/04/2016 03:40:19 PM,04/04/2016 03:57:38 PM,04/04/2016 04:14:35 PM,Code 2 Transport,04/04/2016 04:59:37 PM,MARIPOSA ST/BRYANT ST,San Francisco,94110.0,3,True,Potentially Life-Threatening,MEDIC,20.0
160992550,16039387,Structure Fire / Smoke in Building,04/08/2016 04:31:50 PM,04/08/2016 04:31:50 PM,04/08/2016 04:32:25 PM,04/08/2016 04:33:26 PM,04/08/2016 04:36:48 PM,,,Fire,04/08/2016 04:37:29 PM,STEUART ST/MISSION ST,San Francisco,94105.0,3,False,Alarm,TRUCK,8.0
160970630,16038296,Medical Incident,04/06/2016 07:24:52 AM,04/06/2016 07:27:01 AM,04/06/2016 07:29:02 AM,04/06/2016 07:32:29 AM,04/06/2016 07:39:02 AM,,,No Merit,04/06/2016 07:42:18 AM,YORK ST/HOLLADAY AVE,San Francisco,94110.0,2,True,Potentially Life-Threatening,MEDIC,2.0
160972154,16038439,Traffic Collision,04/06/2016 01:35:25 PM,04/06/2016 01:35:25 PM,04/06/2016 01:35:49 PM,04/06/2016 01:37:09 PM,04/06/2016 01:41:17 PM,,,Code 2 Transport,04/06/2016 02:11:22 PM,46TH AVE/TARAVAL ST,San Francisco,94116.0,3,True,Potentially Life-Threatening,ENGINE,35.0
160940764,16037181,Citizen Assist / Service Call,04/03/2016 06:52:20 AM,04/03/2016 06:53:47 AM,04/03/2016 06:54:02 AM,04/03/2016 06:57:33 AM,04/03/2016 07:00:08 AM,,,Fire,04/03/2016 07:36:40 AM,48TH AVE/NORIEGA ST,San Francisco,94122.0,3,True,Alarm,ENGINE,35.0
161022019,16040571,Medical Incident,04/11/2016 01:29:42 PM,04/11/2016 01:31:48 PM,04/11/2016 01:32:28 PM,04/11/2016 01:34:11 PM,04/11/2016 01:38:06 PM,,,Code 2 Transport,04/11/2016 01:41:45 PM,GILBERT ST/BRYANT ST,San Francisco,94103.0,3,False,Potentially Life-Threatening,TRUCK,34.0
160940444,16037140,Medical Incident,04/03/2016 02:42:00 AM,04/03/2016 02:42:29 AM,04/03/2016 02:42:40 AM,04/03/2016 02:43:08 AM,04/03/2016 02:51:29 AM,,,Patient Declined Transport,04/03/2016 03:26:10 AM,MCALLISTER ST/LEAVENWORTH ST,San Francisco,94102.0,2,False,Non Life-threatening,PRIVATE,36.0
160972214,16038447,Electrical Hazard,04/06/2016 01:47:37 PM,04/06/2016 01:48:48 PM,04/06/2016 01:49:30 PM,04/06/2016 01:50:36 PM,04/06/2016 01:52:21 PM,,,Fire,04/06/2016 01:55:05 PM,03RD ST/WARRIORS WAY,San Francisco,94158.0,3,False,Alarm,ENGINE,4.0
160951577,16037608,Structure Fire / Smoke in Building,04/04/2016 11:54:28 AM,04/04/2016 12:02:17 PM,04/04/2016 12:03:07 PM,04/04/2016 12:03:27 PM,,,,Fire,04/04/2016 12:08:01 PM,OAK ST/DIVISADERO ST,San Francisco,94117.0,3,True,Alarm,MEDIC,3.0
161024079,16040736,Medical Incident,04/11/2016 10:56:37 PM,04/11/2016 11:00:28 PM,04/11/2016 11:02:30 PM,04/11/2016 11:02:30 PM,,,,Unable to Locate,04/11/2016 11:06:21 PM,MASON ST/DERBY ST,San Francisco,94102.0,3,True,Potentially Life-Threatening,MEDIC,36.0
161032244,16040947,Traffic Collision,04/12/2016 02:34:43 PM,04/12/2016 02:34:43 PM,04/12/2016 02:35:16 PM,04/12/2016 02:37:19 PM,04/12/2016 02:41:05 PM,04/12/2016 02:54:49 PM,04/12/2016 03:43:48 PM,Code 2 Transport,04/12/2016 04:09:26 PM,PLYMOUTH AVE/MANGELS AVE,San Francisco,94127.0,3,True,Potentially Life-Threatening,MEDIC,41.0
160931324,16036816,Traffic Collision,04/02/2016 11:04:48 AM,04/02/2016 11:07:42 AM,04/02/2016 11:25:24 AM,04/02/2016 11:25:38 AM,,,,Code 2 Transport,04/02/2016 11:26:47 AM,FULTON ST/08TH AVE,San Francisco,94122.0,2,True,Non Life-threatening,MEDIC,11.0
161003579,16039984,Medical Incident,04/09/2016 11:00:32 PM,04/09/2016 11:05:17 PM,04/09/2016 11:07:09 PM,04/09/2016 11:07:32 PM,04/09/2016 11:19:38 PM,04/10/2016 12:02:34 AM,04/10/2016 12:01:38 AM,Code 2 Transport,04/10/2016 12:47:55 AM,MCKINNON AVE/LANE ST,San Francisco,94124.0,2,True,Non Life-threatening,MEDIC,1.0
161023883,16040719,Alarms,04/11/2016 09:56:15 PM,04/11/2016 09:57:21 PM,04/11/2016 09:57:27 PM,04/11/2016 09:58:15 PM,04/11/2016 10:03:40 PM,,,Fire,04/11/2016 10:18:02 PM,OMAR WAY/MYRA WAY,San Francisco,94127.0,3,False,Alarm,CHIEF,41.0
160973587,16038607,Medical Incident,04/06/2016 06:32:47 PM,04/06/2016 06:34:26 PM,04/06/2016 07:05:33 PM,04/06/2016 07:07:05 PM,04/06/2016 07:12:12 PM,04/06/2016 07:22:50 PM,04/06/2016 07:37:46 PM,Code 2 Transport,04/06/2016 08:12:52 PM,WEBSTER ST/GOLDEN GATE AVE,San Francisco,94115.0,3,False,Non Life-threatening,PRIVATE,39.0
161011405,16040170,Medical Incident,04/10/2016 11:35:31 AM,04/10/2016 11:37:06 AM,04/10/2016 11:38:22 AM,04/10/2016 11:40:38 AM,04/10/2016 11:55:23 AM,04/10/2016 12:14:04 PM,04/10/2016 12:23:26 PM,Code 2 Transport,04/10/2016 12:53:19 PM,ELLIS ST/TAYLOR ST,San Francisco,94102.0,2,False,Non Life-threatening,PRIVATE,36.0
160973260,16038559,Medical Incident,04/06/2016 05:23:50 PM,04/06/2016 05:24:09 PM,04/06/2016 05:24:22 PM,04/06/2016 05:25:52 PM,04/06/2016 05:30:27 PM,,,Code 2 Transport,04/06/2016 05:33:43 PM,MADISON ST/PIOCHE ST,San Francisco,94112.0,3,True,Potentially Life-Threatening,ENGINE,7.0
160970954,16038335,Medical Incident,04/06/2016 09:07:54 AM,04/06/2016 09:09:41 AM,04/06/2016 09:12:05 AM,04/06/2016 09:15:57 AM,04/06/2016 09:22:27 AM,04/06/2016 09:55:15 AM,04/06/2016 10:13:41 AM,Code 3 Transport,04/06/2016 11:06:52 AM,15TH ST/PARK HILL AVE/ROOSEVELT WAY,San Francisco,94117.0,2,False,Potentially Life-Threatening,PRIVATE,5.0
160942435,16037324,Medical Incident,04/03/2016 04:03:53 PM,04/03/2016 04:05:00 PM,04/03/2016 04:05:48 PM,04/03/2016 04:06:31 PM,04/03/2016 04:10:36 PM,04/03/2016 04:28:35 PM,04/03/2016 04:43:05 PM,Code 2 Transport,04/03/2016 05:12:03 PM,HILL ST/CHURCH ST,San Francisco,94114.0,3,False,Potentially Life-Threatening,PRIVATE,22.0
160933627,16037059,Medical Incident,04/02/2016 10:02:35 PM,04/02/2016 10:03:49 PM,04/02/2016 10:03:58 PM,04/02/2016 10:04:06 PM,04/02/2016 10:11:53 PM,04/02/2016 10:51:21 PM,04/02/2016 11:10:00 PM,Code 2 Transport,04/02/2016 11:58:56 PM,TAPIA DR/SERRANO DR,San Francisco,94132.0,3,True,Potentially Life-Threatening,MEDIC,16.0
160941480,16037239,Medical Incident,04/03/2016 11:18:46 AM,04/03/2016 11:18:46 AM,04/03/2016 11:19:52 AM,04/03/2016 11:21:04 AM,04/03/2016 11:22:41 AM,,,Code 2 Transport,04/03/2016 11:38:57 AM,FULTON ST/06TH AVE,San Francisco,94122.0,3,False,Potentially Life-Threatening,ENGINE,11.0
160943390,16037426,Medical Incident,04/03/2016 09:14:11 PM,04/03/2016 09:16:26 PM,04/03/2016 09:16:46 PM,,,,,Code 2 Transport,04/03/2016 09:17:43 PM,POLK ST/CEDAR ST,San Francisco,94109.0,3,False,Potentially Life-Threatening,TRUCK,36.0
161001472,16039743,Alarms,04/09/2016 12:12:11 PM,04/09/2016 12:13:05 PM,04/09/2016 12:13:31 PM,04/09/2016 12:14:24 PM,04/09/2016 12:15:42 PM,,,Fire,04/09/2016 12:36:44 PM,STANYAN ST/FREDERICK ST,San Francisco,94117.0,3,True,Alarm,ENGINE,14.0
160983285,16039075,Medical Incident,04/07/2016 06:57:06 PM,04/07/2016 06:58:17 PM,04/07/2016 06:58:40 PM,,,,,Code 2 Transport,04/07/2016 07:00:30 PM,GEARY BLVD/DIVISADERO ST,San Francisco,94115.0,3,False,Potentially Life-Threatening,TRUCK,15.0
161031132,16040853,Medical Incident,04/12/2016 09:59:11 AM,04/12/2016 10:00:35 AM,04/12/2016 10:01:01 AM,04/12/2016 10:01:10 AM,04/12/2016 10:08:03 AM,04/12/2016 10:14:14 AM,04/12/2016 10:36:04 AM,Code 2 Transport,04/12/2016 11:02:13 AM,TURK ST/PIERCE ST,San Francisco,94115.0,3,True,Potentially Life-Threatening,MEDIC,39.0
160970934,16038330,Alarms,04/06/2016 09:03:40 AM,04/06/2016 09:04:53 AM,04/06/2016 09:05:04 AM,04/06/2016 09:05:44 AM,,,,Cancelled,04/06/2016 09:16:58 AM,EDDY ST/SCOTT ST,San Francisco,94115.0,3,True,Alarm,ENGINE,39.0
160940004,16037091,Medical Incident,04/02/2016 11:59:32 PM,04/03/2016 12:01:29 AM,04/03/2016 12:02:22 AM,04/03/2016 12:03:36 AM,,,,Code 2 Transport,04/03/2016 12:04:45 AM,STATES ST/CASTRO ST,San Francisco,94114.0,3,True,Potentially Life-Threatening,ENGINE,5.0
161010064,16040004,Medical Incident,04/10/2016 12:18:37 AM,04/10/2016 12:20:05 AM,04/10/2016 12:20:21 AM,04/10/2016 12:20:53 AM,,,,Code 2 Transport,04/10/2016 12:21:44 AM,EDDY ST/GOUGH ST,San Francisco,94109.0,3,False,Potentially Life-Threatening,PRIVATE,39.0
160982843,16039028,Medical Incident,04/07/2016 04:59:23 PM,04/07/2016 04:59:23 PM,04/07/2016 05:00:01 PM,04/07/2016 05:01:37 PM,04/07/2016 05:03:25 PM,,,Code 2 Transport,04/07/2016 05:14:56 PM,ELLIS ST/LEAVENWORTH ST,San Francisco,94109.0,3,False,Potentially Life-Threatening,TRUCK,36.0
160993987,16039524,Medical Incident,04/08/2016 11:11:03 PM,04/08/2016 11:13:09 PM,04/08/2016 11:14:09 PM,04/08/2016 11:15:15 PM,,,,Code 2 Transport,04/08/2016 11:16:13 PM,KING ST/BERRY ST,San Francisco,94107.0,3,True,Potentially Life-Threatening,ENGINE,4.0
160930648,16036735,Medical Incident,04/02/2016 06:57:07 AM,04/02/2016 06:58:43 AM,04/02/2016 06:59:39 AM,04/02/2016 06:59:56 AM,04/02/2016 07:06:16 AM,,,Cancelled,04/02/2016 07:07:22 AM,03RD ST/MISSION BAY BLVD,San Francisco,94158.0,2,True,Non Life-threatening,MEDIC,4.0
161013628,16040366,Medical Incident,04/10/2016 11:41:44 PM,04/10/2016 11:42:37 PM,04/10/2016 11:43:43 PM,,,,,Code 2 Transport,04/10/2016 11:44:22 PM,24TH ST/POTRERO AVE,San Francisco,94110.0,3,False,Potentially Life-Threatening,PRIVATE,20.0
160970682,16038301,Medical Incident,04/06/2016 07:43:32 AM,04/06/2016 07:44:10 AM,04/06/2016 07:45:05 AM,04/06/2016 07:46:51 AM,04/06/2016 07:57:02 AM,,,Code 2 Transport,04/06/2016 08:16:41 AM,23RD ST/ALABAMA ST,San Francisco,94110.0,2,True,Potentially Life-Threatening,ENGINE,20.0
160981613,16038891,Medical Incident,04/07/2016 11:40:18 AM,04/07/2016 11:42:48 AM,04/07/2016 11:43:11 AM,04/07/2016 11:44:30 AM,04/07/2016 11:47:27 AM,,,Patient Declined Transport,04/07/2016 12:08:47 PM,FONT BLVD/CHUMASERO DR,San Francisco,94132.0,2,False,Non Life-threatening,ENGINE,16.0
160994058,16039536,Medical Incident,04/08/2016 11:33:07 PM,04/08/2016 11:33:34 PM,04/08/2016 11:33:51 PM,04/08/2016 11:34:51 PM,04/08/2016 11:40:44 PM,,,Code 2 Transport,04/08/2016 11:46:50 PM,SUNRISE WAY/SAWYER ST,San Francisco,94134.0,3,False,Potentially Life-Threatening,ENGINE,40.0
161032584,16040970,Structure Fire / Smoke in Building,04/12/2016 03:54:57 PM,04/12/2016 03:55:23 PM,04/12/2016 04:30:18 PM,04/12/2016 04:32:46 PM,04/12/2016 04:39:07 PM,,,Fire,04/12/2016 06:42:50 PM,06TH ST/TEHAMA ST,San Francisco,94103.0,3,False,Fire,INVESTIGATION,34.0
160983824,16039122,Medical Incident,04/07/2016 09:55:08 PM,04/07/2016 09:55:08 PM,04/07/2016 09:55:25 PM,04/07/2016 09:56:42 PM,04/07/2016 10:06:10 PM,,,Medical Examiner,04/07/2016 10:12:54 PM,BLANKEN AVE/EXECUTIVE PARK BLVD,San Francisco,94134.0,3,True,Potentially Life-Threatening,MEDIC,1.0
161002070,16039812,Medical Incident,04/09/2016 03:35:09 PM,04/09/2016 03:35:35 PM,04/09/2016 03:35:59 PM,04/09/2016 03:36:09 PM,04/09/2016 03:42:05 PM,04/09/2016 03:55:52 PM,04/09/2016 04:08:34 PM,Code 2 Transport,04/09/2016 04:46:49 PM,MARKET ST/14TH ST,San Francisco,94114.0,3,True,Potentially Life-Threatening,MEDIC,5.0
160952437,16037679,Medical Incident,04/04/2016 03:24:33 PM,04/04/2016 03:25:31 PM,04/04/2016 03:25:47 PM,04/04/2016 03:27:02 PM,,,,Cancelled,04/04/2016 03:27:48 PM,LOWELL ST/MISSION ST,San Francisco,94112.0,3,True,Potentially Life-Threatening,ENGINE,7.0
160971653,16038390,Medical Incident,04/06/2016 11:42:36 AM,04/06/2016 11:44:04 AM,04/06/2016 11:44:13 AM,04/06/2016 11:44:52 AM,04/06/2016 11:49:19 AM,,,Code 2 Transport,04/06/2016 11:58:48 AM,TAYLOR ST/06TH ST/GOLDEN GATE AVE/MARKET ST,San Francisco,94103.0,3,True,Potentially Life-Threatening,ENGINE,34.0
160992975,16039418,Medical Incident,04/08/2016 06:15:55 PM,04/08/2016 06:18:56 PM,04/08/2016 06:19:24 PM,04/08/2016 06:20:36 PM,04/08/2016 06:27:15 PM,,,Code 2 Transport,04/08/2016 06:43:17 PM,19TH ST/GUERRERO ST,San Francisco,94110.0,2,True,Non Life-threatening,ENGINE,20.0
160932211,16036916,Medical Incident,04/02/2016 03:22:14 PM,04/02/2016 03:22:39 PM,04/02/2016 03:24:38 PM,04/02/2016 03:25:46 PM,04/02/2016 03:29:00 PM,,,Code 3 Transport,04/02/2016 03:42:25 PM,BONIFACIO ST/LAPU-LAPU ST,San Francisco,94107.0,3,True,Potentially Life-Threatening,ENGINE,34.0
160991789,16039309,Medical Incident,04/08/2016 01:32:54 PM,04/08/2016 01:32:54 PM,04/08/2016 01:33:03 PM,04/08/2016 01:34:29 PM,04/08/2016 01:41:52 PM,,,Code 2 Transport,04/08/2016 01:42:18 PM,MISSION ST/LASKIE ST,San Francisco,94103.0,3,False,Potentially Life-Threatening,RESCUE SQUAD,34.0
160940223,16037118,Medical Incident,04/03/2016 01:18:32 AM,04/03/2016 01:18:32 AM,04/03/2016 01:27:35 AM,04/03/2016 01:28:03 AM,04/03/2016 01:38:48 AM,,,Patient Declined Transport,04/03/2016 02:02:28 AM,SYCAMORE ST/VALENCIA ST,San Francisco,94110.0,2,False,Non Life-threatening,PRIVATE,20.0
161003075,16039931,Medical Incident,04/09/2016 08:44:27 PM,04/09/2016 08:47:15 PM,04/09/2016 08:50:35 PM,04/09/2016 08:51:52 PM,04/09/2016 08:56:24 PM,,,Code 2 Transport,04/09/2016 09:15:21 PM,VALLEJO ST/PIERCE ST,San Francisco,94123.0,2,True,Non Life-threatening,ENGINE,30.0
161020996,16040473,Traffic Collision,04/11/2016 09:19:40 AM,04/11/2016 09:20:53 AM,04/11/2016 09:25:25 AM,04/11/2016 09:27:03 AM,04/11/2016 09:34:00 AM,,,Code 2 Transport,04/11/2016 09:39:09 AM,GILBERT ST/BRYANT ST,San Francisco,94103.0,2,True,Non Life-threatening,ENGINE,34.0
160923362,16036595,Medical Incident,04/01/2016 08:18:24 PM,04/01/2016 08:19:08 PM,04/01/2016 08:19:29 PM,04/01/2016 08:19:47 PM,04/01/2016 08:23:37 PM,04/01/2016 08:39:16 PM,04/01/2016 08:48:34 PM,Code 2 Transport,04/01/2016 09:19:53 PM,MCALLISTER ST/CHARLES J BRENHAM PL,San Francisco,94102.0,3,True,Potentially Life-Threatening,MEDIC,36.0
160981477,16038878,Medical Incident,04/07/2016 11:08:21 AM,04/07/2016 11:08:21 AM,04/07/2016 11:10:35 AM,04/07/2016 11:10:35 AM,04/07/2016 11:11:45 AM,,,Other,04/07/2016 11:25:12 AM,GEARY BLVD/19TH AVE,San Francisco,94121.0,3,False,Potentially Life-Threatening,TRUCK,29.0
161031470,16040885,Medical Incident,04/12/2016 11:22:26 AM,04/12/2016 11:23:57 AM,04/12/2016 11:24:17 AM,04/12/2016 11:25:13 AM,04/12/2016 11:35:12 AM,04/12/2016 11:53:14 AM,04/12/2016 12:15:50 PM,Code 2 Transport,04/12/2016 12:36:31 PM,ESSEX ST/FOLSOM ST,San Francisco,94105.0,3,False,Potentially Life-Threatening,PRIVATE,8.0
161042277,16041319,Structure Fire / Smoke in Building,04/13/2016 02:40:19 PM,04/13/2016 02:40:19 PM,04/13/2016 02:40:32 PM,04/13/2016 02:41:29 PM,04/13/2016 02:44:29 PM,,,Fire,04/13/2016 02:44:51 PM,GRANT AVE/POST ST,San Francisco,94108.0,3,True,Alarm,ENGINE,8.0
160953103,16037741,Traffic Collision,04/04/2016 06:08:22 PM,04/04/2016 06:08:22 PM,04/04/2016 06:11:50 PM,04/04/2016 06:12:42 PM,04/04/2016 06:15:02 PM,,,No Merit,04/04/2016 06:17:43 PM,GOUGH ST/JACKSON ST,San Francisco,94109.0,2,False,Non Life-threatening,ENGINE,30.0
160933835,16037073,Medical Incident,04/02/2016 10:59:54 PM,04/02/2016 11:00:55 PM,04/02/2016 11:01:08 PM,04/02/2016 11:02:34 PM,,,,Code 2 Transport,04/02/2016 11:02:52 PM,GREEN ST/EATON PL,San Francisco,94133.0,2,False,Potentially Life-Threatening,TRUCK,6.0
