Call Number,Unit ID,Incident Number,Call Type,Call Date,Watch Date,Received DtTm,Entry DtTm,Dispatch DtTm,Response DtTm,On Scene DtTm,Transport DtTm,Hospital DtTm,Call Final Disposition,Available DtTm,Address,City,Zipcode of Incident,Battalion,Station Area,Box,Original Priority,Priority,Final Priority,ALS Unit,Call Type Group,Number of Alarms,Unit Type,Unit sequence in call dispatch,Fire Prevention District,Supervisor District,Neighborhooods - Analysis Boundaries,RowID,case_location,data_as_of,data_loaded_at,Analysis Neighborhoods
160990395,E09,16039188,Medical Incident,04/08/2016,04/07/2016,04/08/2016 04:57:57 AM,04/08/2016 04:57:57 AM,04/08/2016 04:59:42 AM,04/08/2016 05:02:02 AM,04/08/2016 05:03:56 AM,,,Code 2 Transport,04/08/2016 05:13:17 AM,HOLLADAY AVE/PERALTA AVE,San Francisco,94110,B10,09,6375,2,2,2,true,Non Life-threatening,1,ENGINE,1,10,9,Bernal Heights,160990395-E09,POINT (-122.40494 37.748222),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,2
160932291,77,16036923,Medical Incident,04/02/2016,04/02/2016,04/02/2016 03:43:42 PM,04/02/2016 03:45:58 PM,04/02/2016 03:46:11 PM,04/02/2016 03:47:05 PM,04/02/2016 03:56:51 PM,04/02/2016 04:12:45 PM,04/02/2016 04:41:31 PM,Code 2 Transport,04/02/2016 05:34:28 PM,GEARY BLVD/33RD AVE,San Francisco,94121,B07,14,7245,2,3,3,true,Potentially Life-Threatening,1,MEDIC,3,7,1,Outer Richmond,160932291-77,POINT (-122.49329 37.77969),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,29
161041270,KM09,16041228,Medical Incident,04/13/2016,04/13/2016,04/13/2016 10:24:45 AM,04/13/2016 10:26:39 AM,04/13/2016 10:26:57 AM,04/13/2016 10:27:43 AM,,,,Fire,04/13/2016 10:35:47 AM,ELLIS ST/LEAVENWORTH ST,San Francisco,94109,B03,03,1461,2,2,2,false,Non Life-threatening,1,PRIVATE,2,2,6,Tenderloin,161041270-KM09,POINT (-122.41443 37.784657),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,36
160953483,E05,16037776,Traffic Collision,04/04/2016,04/04/2016,04/04/2016 07:50:08 PM,04/04/2016 07:51:48 PM,04/04/2016 07:54:40 PM,04/04/2016 07:54:40 PM,04/04/2016 07:55:16 PM,,,Code 2 Transport,04/04/2016 08:05:21 PM,PINE ST/FILLMORE ST,San Francisco,94115,B04,38,3543,3,3,3,true,Potentially Life-Threatening,1,ENGINE,2,4,2,Pacific Heights,160953483-E05,POINT (-122.43365 37.78795),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,30
161003248,E38,16039949,Medical Incident,04/09/2016,04/09/2016,04/09/2016 09:40:08 PM,04/09/2016 09:43:05 PM,04/09/2016 09:43:41 PM,04/09/2016 09:44:56 PM,04/09/2016 09:46:10 PM,,,Code 2 Transport,04/09/2016 10:00:21 PM,SUTTER ST/OCTAVIA ST,San Francisco,94109,B04,38,3324,3,3,3,false,Potentially Life-Threatening,1,ENGINE,1,4,5,Japantown,161003248-E38,POINT (-122.42667 37.786926),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,30
161041409,E36,16041241,Other,04/13/2016,04/13/2016,04/13/2016 11:02:14 AM,04/13/2016 11:02:14 AM,04/13/2016 11:03:31 AM,04/13/2016 11:03:41 AM,04/13/2016 11:06:33 AM,,,Fire,04/13/2016 11:20:04 AM,ANGELOS ALY/JULIA ST/MISSION ST,San Francisco,94103,B02,01,2315,3,3,3,true,Alarm,1,ENGINE,1,2,6,South of Market,161041409-E36,POINT (-122.412415 37.778046),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,34
161030644,T18,16040814,Other,04/12/2016,04/11/2016,04/12/2016 07:44:33 AM,04/12/2016 07:45:23 AM,04/12/2016 07:45:57 AM,04/12/2016 07:48:30 AM,04/12/2016 07:51:35 AM,,,Fire,04/12/2016 08:00:54 AM,KIRKHAM ST/40TH AVE,San Francisco,94122,B08,23,7625,3,3,3,false,Alarm,1,TRUCK,1,8,4,Sunset/Parkside,161030644-T18,POINT (-122.49937 37.758842),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,35
160952484,66,16037683,Medical Incident,04/04/2016,04/04/2016,04/04/2016 03:32:37 PM,04/04/2016 03:33:35 PM,04/04/2016 03:35:11 PM,04/04/2016 03:35:43 PM,04/04/2016 03:40:19 PM,04/04/2016 03:57:38 PM,04/04/2016 04:14:35 PM,Code 2 Transport,04/04/2016 04:59:37 PM,MARIPOSA ST/BRYANT ST,San Francisco,94110,B02,07,5426,3,3,3,true,Potentially Life-Threatening,1,MEDIC,1,2,9,Mission,160952484-66,POINT (-122.41025 37.76303),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,20
160992550,T13,16039387,Structure Fire / Smoke in Building,04/08/2016,04/08/2016,04/08/2016 04:31:50 PM,04/08/2016 04:31:50 PM,04/08/2016 04:32:25 PM,04/08/2016 04:33:26 PM,04/08/2016 04:36:48 PM,,,Fire,04/08/2016 04:37:29 PM,STEUART ST/MISSION ST,San Francisco,94105,B03,35,2131,3,3,3,false,Alarm,1,TRUCK,1,3,3,Financial District/South Beach,160992550-T13,POINT (-122.39318 37.793232),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,8
160970630,62,16038296,Medical Incident,04/06/2016,04/05/2016,04/06/2016 07:24:52 AM,04/06/2016 07:27:01 AM,04/06/2016 07:29:02 AM,04/06/2016 07:32:29 AM,04/06/2016 07:39:02 AM,,,No Merit,04/06/2016 07:42:18 AM,YORK ST/HOLLADAY AVE,San Francisco,94110,B06,09,5671,2,2,2,true,Potentially Life-Threatening,1,MEDIC,1,10,9,Bernal Heights,160970630-62,POINT (-122.40521 37.746475),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,2
160972154,E18,16038439,Traffic Collision,04/06/2016,04/06/2016,04/06/2016 01:35:25 PM,04/06/2016 01:35:25 PM,04/06/2016 01:35:49 PM,04/06/2016 01:37:09 PM,04/06/2016 01:41:17 PM,,,Code 2 Transport,04/06/2016 02:11:22 PM,46TH AVE/TARAVAL ST,San Francisco,94116,B08,23,7713,3,3,3,true,Potentially Life-Threatening,1,ENGINE,2,8,4,Sunset/Parkside,160972154-E18,POINT (-122.50462 37.741764),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,35
160940764,E23,16037181,Citizen Assist / Service Call,04/03/2016,04/02/2016,04/03/2016 06:52:20 AM,04/03/2016 06:53:47 AM,04/03/2016 06:54:02 AM,04/03/2016 06:57:33 AM,04/03/2016 07:00:08 AM,,,Fire,04/03/2016 07:36:40 AM,48TH AVE/NORIEGA ST,San Francisco,94122,B08,23,7725,3,3,3,true,Alarm,1,ENGINE,1,8,4,Sunset/Parkside,160940764-E23,POINT (-122.507545 37.75287),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,35
161022019,T08,16040571,Medical Incident,04/11/2016,04/11/2016,04/11/2016 01:29:42 PM,04/11/2016 01:31:48 PM,04/11/2016 01:32:28 PM,04/11/2016 01:34:11 PM,04/11/2016 01:38:06 PM,,,Code 2 Transport,04/11/2016 01:41:45 PM,GILBERT ST/BRYANT ST,San Francisco,94103,B03,08,0231,3,3,3,false,Potentially Life-Threatening,1,TRUCK,1,3,6,South of Market,161022019-T08,POINT (-122.40421 37.774704),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,34
160940444,KM07,16037140,Medical Incident,04/03/2016,04/02/2016,04/03/2016 02:42:00 AM,04/03/2016 02:42:29 AM,04/03/2016 02:42:40 AM,04/03/2016 02:43:08 AM,04/03/2016 02:51:29 AM,,,Patient Declined Transport,04/03/2016 03:26:10 AM,MCALLISTER ST/LEAVENWORTH ST,San Francisco,94102,B02,03,1553,2,2,2,false,Non Life-threatening,1,PRIVATE,1,2,6,Tenderloin,160940444-KM07,POINT (-122.41367 37.780926),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,36
160972214,E04,16038447,Electrical Hazard,04/06/2016,04/06/2016,04/06/2016 01:47:37 PM,04/06/2016 01:48:48 PM,04/06/2016 01:49:30 PM,04/06/2016 01:50:36 PM,04/06/2016 01:52:21 PM,,,Fire,04/06/2016 01:55:05 PM,03RD ST/WARRIORS WAY,San Francisco,94158,B03,04,2364,3,3,3,false,Alarm,1,ENGINE,1,3,6,Mission Bay,160972214-E04,POINT (-122.389305 37.76882),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,4
160951577,50,16037608,Structure Fire / Smoke in Building,04/04/2016,04/04/2016,04/04/2016 11:54:28 AM,04/04/2016 12:02:17 PM,04/04/2016 12:03:07 PM,04/04/2016 12:03:27 PM,,,,Fire,04/04/2016 12:08:01 PM,OAK ST/DIVISADERO ST,San Francisco,94117,B05,21,4145,3,3,3,true,Alarm,1,MEDIC,7,5,5,Hayes Valley,160951577-50,POINT (-122.43742 37.773132),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,3
161024079,62,16040736,Medical Incident,04/11/2016,04/11/2016,04/11/2016 10:56:37 PM,04/11/2016 11:00:28 PM,04/11/2016 11:02:30 PM,04/11/2016 11:02:30 PM,,,,Unable to Locate,04/11/2016 11:06:21 PM,MASON ST/DERBY ST,San Francisco,94102,B01,03,1411,E,E,3,true,Potentially Life-Threatening,1,MEDIC,6,1,3,Tenderloin,161024079-62,POINT (-122.40993 37.78743),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,36
161032244,71,16040947,Traffic Collision,04/12/2016,04/12/2016,04/12/2016 02:34:43 PM,04/12/2016 02:34:43 PM,04/12/2016 02:35:16 PM,04/12/2016 02:37:19 PM,04/12/2016 02:41:05 PM,04/12/2016 02:54:49 PM,04/12/2016 03:43:48 PM,Code 2 Transport,04/12/2016 04:09:26 PM,PLYMOUTH AVE/MANGELS AVE,San Francisco,94127,B09,15,8522,3,3,3,true,Potentially Life-Threatening,1,MEDIC,3,9,7,West of Twin Peaks,161032244-71,POINT (-122.45769 37.732178),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,41
160931324,88,16036816,Traffic Collision,04/02/2016,04/02/2016,04/02/2016 11:04:48 AM,04/02/2016 11:07:42 AM,04/02/2016 11:25:24 AM,04/02/2016 11:25:38 AM,,,,Code 2 Transport,04/02/2016 11:26:47 AM,FULTON ST/08TH AVE,San Francisco,94122,B07,31,7133,2,2,2,true,Non Life-threatening,1,MEDIC,5,7,1,Inner Richmond,160931324-88,POINT (-122.46588 37.7734),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,11
161003579,89,16039984,Medical Incident,04/09/2016,04/09/2016,04/09/2016 11:00:32 PM,04/09/2016 11:05:17 PM,04/09/2016 11:07:09 PM,04/09/2016 11:07:32 PM,04/09/2016 11:19:38 PM,04/10/2016 12:02:34 AM,04/10/2016 12:01:38 AM,Code 2 Transport,04/10/2016 12:47:55 AM,MCKINNON AVE/LANE ST,San Francisco,94124,B10,17,6518,2,2,2,true,Non Life-threatening,1,MEDIC,2,10,10,Bayview Hunters Point,161003579-89,POINT (-122.38738 37.734825),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,1
161023883,B08,16040719,Alarms,04/11/2016,04/11/2016,04/11/2016 09:56:15 PM,04/11/2016 09:57:21 PM,04/11/2016 09:57:27 PM,04/11/2016 09:58:15 PM,04/11/2016 10:03:40 PM,,,Fire,04/11/2016 10:18:02 PM,OMAR WAY/MYRA WAY,San Francisco,94127,B09,39,8663,3,3,3,false,Alarm,1,CHIEF,2,9,7,West of Twin Peaks,161023883-B08,POINT (-122.450424 37.739338),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,41
160973587,AM20,16038607,Medical Incident,04/06/2016,04/06/2016,04/06/2016 06:32:47 PM,04/06/2016 06:34:26 PM,04/06/2016 07:05:33 PM,04/06/2016 07:07:05 PM,04/06/2016 07:12:12 PM,04/06/2016 07:22:50 PM,04/06/2016 07:37:46 PM,Code 2 Transport,04/06/2016 08:12:52 PM,WEBSTER ST/GOLDEN GATE AVE,San Francisco,94115,B05,05,3516,2,3,3,false,Non Life-threatening,1,PRIVATE,2,5,5,Western Addition,160973587-AM20,POINT (-122.43024 37.77978),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,39
161011405,AM08,16040170,Medical Incident,04/10/2016,04/10/2016,04/10/2016 11:35:31 AM,04/10/2016 11:37:06 AM,04/10/2016 11:38:22 AM,04/10/2016 11:40:38 AM,04/10/2016 11:55:23 AM,04/10/2016 12:14:04 PM,04/10/2016 12:23:26 PM,Code 2 Transport,04/10/2016 12:53:19 PM,ELLIS ST/TAYLOR ST,San Francisco,94102,B03,03,1461,2,2,2,false,Non Life-threatening,1,PRIVATE,1,3,6,Tenderloin,161011405-AM08,POINT (-122.41114 37.785076),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,36
160973260,E43,16038559,Medical Incident,04/06/2016,04/06/2016,04/06/2016 05:23:50 PM,04/06/2016 05:24:09 PM,04/06/2016 05:24:22 PM,04/06/2016 05:25:52 PM,04/06/2016 05:30:27 PM,,,Code 2 Transport,04/06/2016 05:33:43 PM,MADISON ST/PIOCHE ST,San Francisco,94112,B09,43,6146,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,9,9,Excelsior,160973260-E43,POINT (-122.423355 37.727833),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,7
160970954,AM08,16038335,Medical Incident,04/06/2016,04/06/2016,04/06/2016 09:07:54 AM,04/06/2016 09:09:41 AM,04/06/2016 09:12:05 AM,04/06/2016 09:15:57 AM,04/06/2016 09:22:27 AM,04/06/2016 09:55:15 AM,04/06/2016 10:13:41 AM,Code 3 Transport,04/06/2016 11:06:52 AM,15TH ST/PARK HILL AVE/ROOSEVELT WAY,San Francisco,94117,B05,21,5136,2,2,2,false,Potentially Life-Threatening,1,PRIVATE,3,5,8,Castro/Upper Market,160970954-AM08,POINT (-122.4395 37.766575),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,5
160942435,KM05,16037324,Medical Incident,04/03/2016,04/03/2016,04/03/2016 04:03:53 PM,04/03/2016 04:05:00 PM,04/03/2016 04:05:48 PM,04/03/2016 04:06:31 PM,04/03/2016 04:10:36 PM,04/03/2016 04:28:35 PM,04/03/2016 04:43:05 PM,Code 2 Transport,04/03/2016 05:12:03 PM,HILL ST/CHURCH ST,San Francisco,94114,B06,11,5467,3,3,3,false,Potentially Life-Threatening,1,PRIVATE,2,6,8,Noe Valley,160942435-KM05,POINT (-122.42781 37.75569),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,22
160933627,72,16037059,Medical Incident,04/02/2016,04/02/2016,04/02/2016 10:02:35 PM,04/02/2016 10:03:49 PM,04/02/2016 10:03:58 PM,04/02/2016 10:04:06 PM,04/02/2016 10:11:53 PM,04/02/2016 10:51:21 PM,04/02/2016 11:10:00 PM,Code 2 Transport,04/02/2016 11:58:56 PM,TAPIA DR/SERRANO DR,San Francisco,94132,B08,19,8581,3,3,3,true,Potentially Life-Threatening,1,MEDIC,2,8,7,Lakeshore,160933627-72,POINT (-122.48142 37.719055),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,16
160941480,E31,16037239,Medical Incident,04/03/2016,04/03/2016,04/03/2016 11:18:46 AM,04/03/2016 11:18:46 AM,04/03/2016 11:19:52 AM,04/03/2016 11:21:04 AM,04/03/2016 11:22:41 AM,,,Code 2 Transport,04/03/2016 11:38:57 AM,FULTON ST/06TH AVE,San Francisco,94122,B07,31,7122,3,3,3,false,Potentially Life-Threatening,1,ENGINE,1,7,1,Inner Richmond,160941480-E31,POINT (-122.46375 37.773624),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,11
160943390,T03,16037426,Medical Incident,04/03/2016,04/03/2016,04/03/2016 09:14:11 PM,04/03/2016 09:16:26 PM,04/03/2016 09:16:46 PM,,,,,Code 2 Transport,04/03/2016 09:17:43 PM,POLK ST/CEDAR ST,San Francisco,94109,B04,03,1641,3,3,3,false,Potentially Life-Threatening,1,TRUCK,4,4,6,Tenderloin,160943390-T03,POINT (-122.41983 37.786358),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,36
161001472,E12,16039743,Alarms,04/09/2016,04/09/2016,04/09/2016 12:12:11 PM,04/09/2016 12:13:05 PM,04/09/2016 12:13:31 PM,04/09/2016 12:14:24 PM,04/09/2016 12:15:42 PM,,,Fire,04/09/2016 12:36:44 PM,STANYAN ST/FREDERICK ST,San Francisco,94117,B05,12,4551,3,3,3,true,Alarm,1,ENGINE,1,5,5,Haight Ashbury,161001472-E12,POINT (-122.45295 37.766373),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,14
160983285,T10,16039075,Medical Incident,04/07/2016,04/07/2016,04/07/2016 06:57:06 PM,04/07/2016 06:58:17 PM,04/07/2016 06:58:40 PM,,,,,Code 2 Transport,04/07/2016 07:00:30 PM,GEARY BLVD/DIVISADERO ST,San Francisco,94115,B05,10,4154,3,3,3,false,Potentially Life-Threatening,1,TRUCK,3,5,5,Japantown,160983285-T10,POINT (-122.43948 37.78331),02/05/2024 03:27:52 AM,02/05/2024 10:56:25 AM,15
